run max_rpm damping_rate_full_throttle damping_rate_zero_throttle_clutch_engaged damping_rate_zero_throttle_clutch_disengaged gear_switch_time clutch_strength mass drag_coefficient tire_friction damping_rate radius max_brake_torque min_maximum_change min_distance_velocity min_change_para
2 5537.626 0.150 1.941 0.340 0.485 9.887 1482.574 0.277 2.028 0.243 34.989 1340.708 0.108 2.647 4
2 5356.717 0.154 1.806 0.343 0.504 9.905 1458.913 0.306 2.040 0.249 34.825 1359.282 0.099 2.018 5
2 5531.535 0.144 2.001 0.365 0.494 9.862 1513.892 0.295 1.930 0.243 35.570 1332.167 0.13 2.314 4
2 5535.497 0.148 1.784 0.341 0.478 9.908 1482.875 0.280 2.020 0.243 35.212 1347.301 0.111 -3.493 5
2 5541.623 0.148 1.743 0.365 0.478 9.858 1482.800 0.302 2.022 0.244 35.574 1336.468 0.128 -5.566 5
2 5447.262 0.136 1.939 0.321 0.494 9.909 1470.214 0.294 2.022 0.248 34.531 1359.438 0.097 3.128 6
2 5493.466 0.144 1.941 0.339 0.494 10.149 1425.659 0.295 2.022 0.248 34.534 1360.786 0.099 3.553 4
2 5449.283 0.148 1.939 0.321 0.494 10.149 1470.214 0.280 2.022 0.248 34.531 1359.486 0.097 3.413 5
2 5789.679 0.144 2.003 0.364 0.492 9.914 1566.715 0.295 1.960 0.243 35.374 1233.227 0.178 -0.964 4
2 5536.292 0.150 1.941 0.340 0.496 9.887 1482.574 0.287 2.028 0.243 35.559 1340.708 0.122 2.6 4
2 5541.513 0.152 1.769 0.344 0.504 9.861 1482.800 0.303 2.034 0.251 35.583 1336.444 0.122 -4.515 5
2 5724.955 0.150 2.058 0.342 0.478 9.915 1519.371 0.294 2.020 0.243 35.369 1293.929 0.145 2.091 4
2 5506.200 0.135 1.797 0.349 0.493 9.852 1458.827 0.306 2.008 0.243 34.945 1347.858 0.102 -3.153 6
2 5730.131 0.150 2.007 0.364 0.485 9.915 1519.622 0.302 1.947 0.243 35.568 1275.875 0.149 1.95 4
3 6042.368 0.143 1.091 0.336 0.489 8.049 1486.742 0.284 1.814 0.229 35.357 1201.287 0.455 -21.001 8
3 5005.094 0.144 1.955 0.344 0.482 10.003 1352.123 0.277 2.031 0.255 35.428 1276.049 0.149 2.823 2
3 5005.458 0.149 1.076 0.344 0.480 10.001 1353.050 0.279 1.988 0.255 35.566 1226.721 0.462 -7.492 3
3 5003.650 0.143 1.978 0.344 0.484 10.002 1352.834 0.284 1.912 0.255 33.252 1448.695 0.053 5.206 3
3 4979.415 0.149 1.093 0.337 0.480 10.001 1353.033 0.284 1.988 0.255 35.357 1202.077 0.454 -7.205 3
3 4996.162 0.143 1.705 0.350 0.482 10.003 1351.070 0.284 2.028 0.255 35.591 1200.976 0.199 -3.693 3
3 4995.620 0.144 1.712 0.335 0.498 9.995 1474.940 0.280 2.031 0.255 35.279 1278.929 0.147 -18.088 4
3 5586.461 0.143 1.661 0.344 0.486 9.921 1474.955 0.279 2.030 0.254 35.597 1307.830 0.169 -19.104 5
3 6053.086 0.143 1.091 0.336 0.489 8.059 1486.742 0.280 1.935 0.255 34.823 1360.795 0.455 -20.859 6
3 4990.477 0.143 2.013 0.345 0.485 10.154 1508.233 0.284 2.026 0.251 35.594 1211.215 0.193 -1.346 3
3 5000.852 0.143 1.978 0.344 0.484 10.002 1427.310 0.284 1.916 0.255 33.710 1443.799 0.065 4.365 4
3 5404.182 0.148 1.822 0.369 0.478 9.525 1427.300 0.292 1.948 0.256 34.297 1454.876 0.089 2.401 7
3 5327.186 0.152 1.978 0.344 0.467 10.002 1421.978 0.284 1.912 0.255 33.252 1443.799 0.066 4.001 6
3 5000.550 0.144 1.978 0.344 0.481 10.002 1350.858 0.293 2.032 0.254 34.471 1376.274 0.087 3.878 2
3 5004.912 0.144 1.710 0.344 0.482 10.003 1351.030 0.280 2.031 0.255 35.439 1276.049 0.149 1.811 3
3 6042.368 0.143 1.091 0.336 0.489 8.049 1486.742 0.284 1.815 0.248 35.117 1201.287 0.455 -20.939 7
3 5327.186 0.144 1.978 0.344 0.482 10.017 1421.978 0.292 1.912 0.255 33.252 1443.799 0.065 4.361 5
3 5329.093 0.143 1.824 0.344 0.478 10.018 1475.113 0.278 1.794 0.255 34.791 1335.699 0.11 -5.196 6
3 5000.852 0.143 1.978 0.344 0.484 10.003 1354.188 0.284 1.916 0.255 33.702 1448.867 0.063 4.879 3
