run max_rpm damping_rate_full_throttle damping_rate_zero_throttle_clutch_engaged damping_rate_zero_throttle_clutch_disengaged gear_switch_time clutch_strength mass drag_coefficient tire_friction damping_rate radius max_brake_torque min_maximum_change min_distance_velocity min_change_para
4 6082.499  0.108  1.479  0.361  0.398  8.483  1380.717  0.238  1.524  0.250  34.316  1422.115  0.28 -11.045 11
4 6259.467  0.103  1.371  0.325  0.526  11.041  1434.460  0.229  2.111  0.290  33.395  1234.574  0.315 -12.864 12
4 5807.207  0.130  1.894  0.396  0.422  10.729  1540.122  0.273  2.137  0.240  32.279  1470.727  0.161 -3.705 12
4 5501.745  0.174  1.163  0.212  0.423  10.508  1794.179  0.308  2.360  0.298  34.249  1473.731  0.418 -19.043 11
4 5788.368  0.142  1.712  0.369  0.430  10.793  1372.763  0.354  1.741  0.224  35.027  1535.290  0.18 -6.984 12
4 6317.392  0.120  1.179  0.251  0.417  10.044  1824.313  0.290  1.977  0.298  34.336  1658.169  0.41 -11.922 9
4 5800.260  0.141  1.376  0.319  0.474  8.784  1564.614  0.214  1.296  0.256  33.603  1753.222  0.352 -19.557 12
4 5743.707  0.145  2.022  0.357  0.549  10.068  1577.481  0.285  2.302  0.263  33.612  1668.035  0.177 4.595 9
4 5563.941  0.148  1.226  0.346  0.310  10.848  1577.050  0.311  2.299  0.247  35.122  1326.739  0.387 -10.727 8
4 5379.023  0.107  1.311  0.355  0.329  10.841  1676.652  0.362  2.006  0.282  34.966  1216.152  0.345 -10.723 10
4 6365.103  0.162  1.234  0.241  0.490  11.183  1702.727  0.261  1.492  0.248  34.588  1339.393  0.383 -12.542 10
4 5819.935  0.152  1.559  0.300  0.530  11.043  1373.508  0.237  2.484  0.244  35.274  1210.800  0.242 -9.222 11
4 6061.530  0.118  1.311  0.294  0.513  9.126  1502.002  0.300  1.628  0.213  35.438  1239.508  0.345 -13.443 11
4 5884.000  0.166  1.827  0.344  0.333  9.376  1633.658  0.298  1.367  0.247  35.268  1498.733  0.334 -6.426 8
4 6371.773  0.148  1.413  0.367  0.351  11.082  1895.084  0.304  1.118  0.244  35.593  1214.831  0.441 -12.823 10
4 5004.851  0.170  2.277  0.393  0.498  9.453  1358.001  0.288  2.017  0.225  32.104  1725.177  0.15 8.917 9
5 6259.254  0.187  1.628  0.341  0.444  9.253  1364.225  0.301  2.880  0.297  35.114  1203.831  0.44 -18.856 11
5 6179.519  0.119  1.118  0.297  0.509  10.939  1980.689  0.293  2.302  0.210  32.365  1392.850  0.478 -14.182 10
5 6068.074  0.140  1.463  0.389  0.423  9.338  1784.934  0.331  1.866  0.230  33.839  1733.383  0.332 -18.861 12
5 5734.434  0.142  1.641  0.351  0.426  9.110  1658.907  0.323  2.288  0.218  35.474  1673.749  0.238 -8.974 11
5 5684.248  0.149  1.446  0.343  0.552  10.251  1466.334  0.246  2.003  0.217  35.330  1317.677  0.277 -10.632 9
5 5862.041  0.149  1.938  0.383  0.482  10.924  1521.001  0.254  1.975  0.208  33.808  1407.246  0.172 2.456 10
5 5063.475  0.115  1.984  0.333  0.432  9.326  1462.139  0.294  1.467  0.202  34.784  1504.759  0.266 1.922 9
5 6276.415  0.108  1.481  0.281  0.368  11.794  1541.923  0.391  1.985  0.296  35.572  1256.977  0.303 -11.577 11
5 4910.970  0.113  1.401  0.217  0.393  8.859  1862.747  0.209  1.185  0.231  33.590  1499.967  0.407 -16.995 11
5 5492.904  0.153  1.086  0.343  0.508  11.102  2031.216  0.353  1.162  0.298  32.891  1497.525  0.516 -12.214 8
5 4999.040  0.147  2.608  0.362  0.489  9.402  1547.629  0.323  2.179  0.252  33.650  1660.958  0.304 8.222 8
5 5759.377  0.125  1.534  0.295  0.596  10.393  1594.860  0.268  1.708  0.273  34.839  1492.935  0.233 -10.21 12
5 6141.443  0.107  1.590  0.290  0.382  8.046  1807.128  0.426  2.462  0.282  35.241  1563.887  0.42 -19.032 12
5 6298.778  0.150  1.408  0.258  0.379  11.700  1655.663  0.318  1.921  0.262  35.499  1540.128  0.296 -10.666 11
5 5525.236  0.186  1.336  0.353  0.351  10.862  1571.699  0.372  2.929  0.259  34.178  1613.981  0.464 -19.013 11
5 5643.248  0.128  1.656  0.325  0.587  11.552  1489.139  0.355  1.517  0.298  33.133  1396.290  0.242 -10.229 12
5 6313.154  0.152  1.107  0.223  0.495  8.008  1656.099  0.475  1.030  0.296  32.334  1316.879  0.583 -14.479 10
5 4424.280  0.163  2.368  0.294  0.588  8.265  1631.502  0.279  1.980  0.247  35.287  1505.111  0.218 6.132 9
5 6005.794  0.102  1.243  0.308  0.349  10.217  1422.035  0.293  1.343  0.216  34.909  1218.951  0.378 -14.429 11
5 6166.515  0.106  1.420  0.344  0.535  11.373  1463.983  0.206  1.997  0.252  33.264  1348.493  0.313 -13.268 9
5 5008.832  0.153  1.119  0.356  0.350  10.362  1551.435  0.292  1.090  0.273  35.362  1609.618  0.455 -9.241 8
5 5626.378  0.172  1.701  0.379  0.449  9.890  1586.937  0.307  2.340  0.291  34.202  1414.091  0.184 -4.839 11
5 4747.260  0.153  1.998  0.357  0.572  11.413  1860.762  0.252  2.029  0.204  35.154  1618.217  0.389 2.892 8
5 5870.207  0.118  1.302  0.215  0.598  9.945  1425.947  0.243  1.525  0.253  35.061  1259.989  0.386 -13.899 10
5 4527.019  0.134  2.029  0.347  0.571  10.730  1457.936  0.312  2.302  0.227  32.792  1740.543  0.16 8.631 10
5 6133.015  0.113  1.582  0.398  0.592  11.776  1677.747  0.229  2.335  0.219  35.196  1207.966  0.252 -11.44 12
5 5555.936  0.168  2.257  0.386  0.507  10.103  1423.680  0.273  1.900  0.225  35.163  1538.861  0.129 5.201 11
5 6116.969  0.130  1.978  0.292  0.464  11.252  1395.868  0.282  2.034  0.206  31.718  1592.453  0.223 4.557 9
5 5995.576  0.114  1.804  0.260  0.546  8.113  1693.311  0.286  1.778  0.275  34.697  1516.675  0.264 -18.478 12
5 5126.225  0.172  2.253  0.381  0.511  8.480  1596.120  0.301  2.158  0.274  31.714  1227.506  0.191 6.3 9
5 5544.655  0.123  1.452  0.390  0.497  11.593  1617.229  0.281  2.052  0.203  34.938  1345.178  0.274 -10.63 11
5 6318.267  0.189  1.647  0.354  0.503  10.961  1489.367  0.290  2.488  0.208  33.399  1687.873  0.264 2.817 9
5 5556.478  0.121  1.859  0.314  0.394  8.701  1615.788  0.356  1.656  0.231  32.386  1478.408  0.212 -7.413 12
6 6241.336  0.163  1.578  0.306  0.452  9.519  1493.110  0.371  1.758  0.237  32.793  1510.216  0.248 -6.32 12
6 5259.093  0.156  1.766  0.359  0.501  10.320  1360.609  0.287  2.189  0.249  31.771  1406.978  0.117 5.616 9
6 6039.704  0.103  1.404  0.366  0.401  8.071  1513.252  0.249  1.634  0.204  32.509  1255.775  0.313 -11.874 12
6 5278.912  0.150  1.478  0.306  0.398  10.494  1385.753  0.344  2.018  0.262  34.927  1357.303  0.261 -4.44 10
6 5486.714  0.152  1.623  0.372  0.416  9.867  1645.277  0.309  1.471  0.286  34.600  1633.630  0.264 -6.608 10
6 5391.229  0.135  2.022  0.332  0.420  10.107  1471.532  0.321  1.919  0.229  33.375  1379.194  0.16 3.866 11
6 5751.105  0.151  1.370  0.330  0.599  9.451  1733.358  0.303  1.986  0.256  33.727  1673.813  0.315 -7.689 9
6 6010.168  0.135  1.414  0.393  0.535  9.748  1476.492  0.310  2.296  0.250  31.730  1612.390  0.293 -7.633 9
6 6086.549  0.176  1.484  0.318  0.588  9.663  1415.702  0.371  1.522  0.234  34.165  1585.040  0.258 -6.781 12
6 6318.181  0.114  1.396  0.285  0.471  8.388  1375.753  0.211  2.341  0.287  32.799  1291.636  0.302 -10.959 12
6 6208.655  0.132  2.202  0.261  0.489  8.464  1345.089  0.350  1.672  0.253  31.753  1459.353  0.254 6.394 8
6 5571.675  0.175  1.348  0.360  0.493  9.090  1544.806  0.364  1.904  0.206  34.788  1225.424  0.326 -10.045 11
6 5084.737  0.138  2.021  0.350  0.569  11.085  1549.727  0.242  1.616  0.221  32.717  1650.235  0.193 4.693 10
6 5003.064  0.116  2.182  0.347  0.490  9.997  1425.904  0.451  1.971  0.238  34.916  1707.697  0.503 6.026 7
6 4697.374  0.172  2.062  0.363  0.495  11.092  1424.931  0.300  2.344  0.213  34.934  1307.819  0.172 5.425 10
6 6220.302  0.118  1.369  0.282  0.449  9.210  1596.381  0.220  2.025  0.279  34.553  1525.540  0.316 -9.874 11
6 6246.873  0.108  1.196  0.347  0.357  9.970  1909.908  0.261  1.512  0.251  33.756  1328.291  0.425 -13.263 9
6 5763.056  0.127  1.752  0.295  0.493  10.016  1776.785  0.248  1.578  0.217  35.125  1379.154  0.326 -7.821 10
6 5995.153  0.181  1.313  0.343  0.455  8.122  1639.211  0.297  1.611  0.248  34.180  1777.567  0.344 -7.728 9
6 4934.870  0.156  1.591  0.344  0.366  8.072  1906.604  0.304  2.310  0.253  35.523  1504.552  0.423 -4.275 8
6 5416.152  0.162  1.395  0.208  0.439  10.741  1572.613  0.396  2.403  0.230  34.908  1729.202  0.406 -19.133 12
6 5688.324  0.118  1.542  0.351  0.402  11.619  1453.671  0.328  2.306  0.260  35.112  1618.137  0.229 -6.121 11
6 5415.496  0.147  1.434  0.205  0.469  9.347  1520.917  0.356  1.917  0.249  35.509  1502.705  0.414 -8.015 9
6 5530.855  0.104  2.061  0.269  0.549  10.220  1799.582  0.383  1.329  0.250  31.748  1535.279  0.343 -16.753 10
6 5680.465  0.128  1.739  0.359  0.410  11.719  1409.478  0.362  1.687  0.268  35.367  1563.177  0.207 -5.139 12
6 5421.287  0.186  2.226  0.349  0.500  9.934  1639.972  0.401  1.665  0.202  31.710  1253.652  0.337 5.989 8
6 5791.648  0.170  1.624  0.275  0.416  9.953  1576.062  0.234  1.503  0.282  33.638  1228.019  0.249 -6.616 11
6 6398.306  0.137  1.490  0.274  0.544  10.940  1595.568  0.307  2.115  0.217  32.149  1331.000  0.28 -9.058 11
6 5893.965  0.167  1.883  0.355  0.487  8.055  1457.340  0.295  2.030  0.202  35.019  1242.240  0.195 2.172 9
6 5798.915  0.110  1.444  0.322  0.535  9.949  1752.185  0.286  2.266  0.287  35.350  1765.807  0.308 -9.077 11
7 6052.505  0.104  1.415  0.347  0.328  10.286  1784.646  0.251  1.255  0.246  34.239  1436.717  0.373 -12.225 11
7 6007.825  0.132  1.556  0.286  0.440  10.353  1613.934  0.312  1.985  0.239  35.429  1569.661  0.222 -8.114 11
7 5873.658  0.129  1.632  0.277  0.427  9.974  1380.052  0.335  2.037  0.248  34.180  1491.680  0.209 -4.7 9
7 5799.501  0.185  1.560  0.218  0.435  10.822  1901.304  0.420  1.276  0.215  34.915  1564.676  0.419 -18.023 12
7 4996.082  0.186  2.329  0.345  0.506  10.246  1380.985  0.292  2.417  0.254  32.262  1297.939  0.24 8.343 8
7 6224.245  0.100  1.241  0.280  0.586  10.527  1501.752  0.230  2.364  0.299  33.438  1382.929  0.379 -13.157 12
7 6001.829  0.109  1.539  0.322  0.362  8.519  1609.181  0.263  2.276  0.206  34.092  1288.885  0.276 -9.153 12
7 6189.407  0.171  1.534  0.324  0.422  11.852  2005.009  0.393  2.955  0.272  34.841  1253.737  0.496 -18.05 12
7 5788.782  0.129  1.746  0.378  0.481  11.236  1555.883  0.263  2.295  0.217  33.895  1295.277  0.161 -4.219 12
7 6276.108  0.149  1.213  0.272  0.491  9.100  1818.231  0.297  1.670  0.293  35.039  1551.573  0.393 -11.643 9
7 6224.140  0.106  1.475  0.314  0.574  9.081  1545.566  0.377  2.238  0.255  34.756  1311.636  0.293 -9.936 12
7 5512.816  0.146  1.726  0.364  0.431  10.344  1381.480  0.306  2.143  0.237  35.467  1447.755  0.138 1.818 11
7 6350.660  0.105  1.245  0.207  0.440  9.998  1482.452  0.333  1.882  0.233  32.677  1439.880  0.409 -13.329 11
7 6070.495  0.116  1.411  0.307  0.393  11.308  1462.292  0.305  1.745  0.244  32.027  1700.624  0.294 -9.755 11
7 5871.517  0.149  1.148  0.233  0.495  11.761  1804.697  0.249  1.311  0.290  33.827  1267.629  0.426 -12.806 10
7 5661.469  0.108  1.438  0.289  0.414  8.279  1811.214  0.299  1.976  0.230  34.676  1436.910  0.352 -10.278 10
7 5912.010  0.152  1.392  0.351  0.491  9.428  1665.019  0.219  2.345  0.270  34.381  1516.402  0.304 -8.447 9
7 6051.865  0.119  1.250  0.328  0.510  8.930  1788.374  0.207  1.949  0.270  33.417  1337.631  0.375 -13.156 11
7 5032.423  0.151  1.351  0.240  0.523  11.598  2078.388  0.232  1.786  0.289  35.529  1728.986  0.551 -18.083 11
7 6379.760  0.151  1.224  0.378  0.473  10.022  1353.024  0.200  2.049  0.289  31.743  1574.133  0.388 -10.347 9
7 6352.952  0.103  1.230  0.389  0.444  11.913  1354.862  0.214  1.943  0.256  33.843  1347.907  0.385 -13.327 12
7 5134.975  0.150  1.267  0.369  0.403  8.939  1630.342  0.301  1.586  0.249  34.533  1501.203  0.367 -5.976 8
