run max_rpm damping_rate_full_throttle damping_rate_zero_throttle_clutch_engaged damping_rate_zero_throttle_clutch_disengaged gear_switch_time clutch_strength mass drag_coefficient tire_friction damping_rate radius max_brake_torque min_maximum_change min_distance_velocity min_change_para
3 5663.026 0.150 1.728 0.353 0.503 9.999 1340.152 0.290 1.772 0.252 34.884 1364.835 0.136 -6.886 5
3 5658.790 0.151 1.748 0.352 0.509 10.002 1345.241 0.302 2.028 0.248 34.799 1292.607 0.138 -5.815 4
3 5252.131 0.151 1.836 0.352 0.509 10.002 1345.408 0.303 1.877 0.252 34.791 1361.890 0.098 -1.045 5
3 5227.417 0.151 1.834 0.353 0.492 9.953 1455.809 0.290 1.877 0.248 34.800 1332.718 0.112 -3.875 6
3 5398.664 0.151 1.741 0.359 0.493 10.003 1470.297 0.309 1.970 0.252 35.089 1335.230 0.129 -6.688 6
3 5620.604 0.151 1.689 0.352 0.493 9.953 1346.109 0.290 2.036 0.248 34.802 1293.703 0.155 -6.344 4
3 5244.780 0.139 1.836 0.349 0.498 9.997 1468.788 0.306 1.883 0.248 34.474 1410.565 0.096 -0.764 7
3 5596.366 0.152 1.768 0.354 0.488 9.980 1466.054 0.290 1.880 0.252 35.031 1332.682 0.119 -6.375 7
3 5608.917 0.151 1.768 0.352 0.493 10.030 1344.118 0.289 2.029 0.249 35.006 1334.515 0.122 -4.089 4
3 5247.064 0.152 1.768 0.354 0.509 10.001 1466.185 0.290 2.002 0.251 35.036 1334.997 0.116 -4.691 5
3 4991.384 0.151 2.031 0.352 0.492 10.014 1340.188 0.290 2.028 0.251 35.074 1288.956 0.141 3.351 2
3 5608.917 0.151 1.754 0.352 0.493 10.012 1345.098 0.289 2.029 0.251 35.006 1334.515 0.123 -4.817 4
3 5247.064 0.151 1.782 0.362 0.509 9.934 1462.235 0.290 1.791 0.248 35.159 1333.780 0.111 -4.472 7
3 5656.463 0.152 1.732 0.352 0.490 10.001 1344.440 0.302 2.024 0.250 34.900 1285.882 0.143 -6.228 4
3 5635.470 0.151 1.741 0.352 0.489 10.001 1470.297 0.290 1.971 0.252 35.091 1335.116 0.129 -6.645 5
3 4991.398 0.153 2.018 0.353 0.492 10.015 1340.184 0.295 1.969 0.251 34.153 1377.330 0.082 4.471 2
3 5244.682 0.152 1.832 0.354 0.509 10.001 1466.185 0.290 2.002 0.251 35.036 1334.997 0.11 -1.873 5
3 5380.187 0.152 1.836 0.353 0.509 10.697 1458.715 0.303 1.788 0.248 35.040 1415.102 0.106 -3.638 7
3 5155.285 0.152 1.962 0.353 0.498 9.998 1346.066 0.306 1.993 0.251 34.118 1409.558 0.076 0 3
3 5626.191 0.151 1.751 0.352 0.493 10.012 1345.143 0.289 2.029 0.251 35.102 1334.515 0.125 -5.084 4
3 5662.730 0.151 1.728 0.353 0.503 9.999 1340.152 0.290 1.968 0.252 35.086 1364.835 0.136 -5.549 4
3 5247.064 0.151 1.834 0.346 0.509 9.999 1462.235 0.303 1.791 0.252 35.159 1373.981 0.109 -3.532 6
3 5629.715 0.153 1.748 0.353 0.493 10.015 1503.515 0.296 1.795 0.251 34.778 1337.344 0.126 -6.194 6
3 5247.064 0.151 1.782 0.363 0.509 10.018 1462.235 0.290 1.791 0.248 35.159 1334.978 0.11 -4.382 7
3 5247.795 0.152 1.768 0.354 0.491 9.582 1466.161 0.290 1.880 0.251 35.089 1332.682 0.116 -5.695 7
3 5247.251 0.152 1.837 0.354 0.509 10.012 1466.186 0.290 1.794 0.252 35.028 1358.141 0.105 -3.258 6
3 5247.063 0.151 1.782 0.362 0.509 9.936 1462.235 0.286 1.794 0.246 35.159 1359.147 0.109 -5.028 9
3 5608.917 0.152 1.768 0.352 0.492 10.030 1441.023 0.306 2.029 0.249 35.044 1334.515 0.122 -6.068 5
4 5897.645 0.153 1.121 0.349 0.474 10.033 1682.986 0.291 2.026 0.249 35.441 1208.513 0.44 -20.425 6
4 5505.244 0.150 1.841 0.350 0.492 9.923 1464.928 0.290 2.015 0.248 34.671 1364.628 0.101 2.408 5
4 5531.841 0.153 1.972 0.346 0.501 9.924 1488.061 0.293 2.021 0.253 35.582 1297.739 0.135 2.441 4
4 5504.894 0.150 1.967 0.350 0.492 9.923 1465.344 0.290 2.015 0.253 34.674 1334.309 0.11 3.239 4
4 5579.302 0.140 1.776 0.350 0.478 10.084 1484.853 0.270 1.816 0.245 35.506 1336.081 0.12 -5.208 11
4 5580.207 0.153 1.776 0.352 0.498 9.930 1536.854 0.290 2.021 0.253 35.391 1228.723 0.181 -18.559 5
4 5889.179 0.138 1.682 0.345 0.489 10.010 1537.468 0.290 1.965 0.253 35.588 1281.473 0.178 -7.553 6
4 6267.596 0.149 1.310 0.348 0.497 9.911 1635.463 0.279 2.027 0.242 35.592 1312.951 0.345 -19.964 8
4 5887.713 0.153 1.182 0.345 0.498 10.017 1633.402 0.291 2.023 0.253 35.588 1207.280 0.409 -20.373 5
4 5897.604 0.153 1.406 0.360 0.498 10.015 1537.611 0.290 1.636 0.251 33.782 1267.844 0.297 -19.431 7
4 5896.159 0.150 1.563 0.352 0.498 10.014 1643.661 0.291 2.030 0.253 35.503 1266.286 0.227 -19.1 5
4 5561.745 0.153 1.776 0.352 0.498 9.930 1479.335 0.291 1.963 0.253 34.825 1356.313 0.112 -0.819 5
4 5538.056 0.140 1.781 0.351 0.492 10.084 1476.812 0.284 1.818 0.244 34.653 1329.428 0.114 -3.762 10
4 5487.992 0.136 1.783 0.352 0.511 9.923 1479.288 0.291 1.815 0.244 34.678 1356.313 0.109 -3.227 8
4 5575.327 0.140 1.776 0.352 0.492 9.923 1484.807 0.270 2.015 0.248 34.671 1329.268 0.115 -2.669 7
4 5860.152 0.113 1.401 0.350 0.467 10.014 1480.089 0.261 1.646 0.249 33.733 1211.640 0.299 -19.98 9
4 5575.282 0.140 1.773 0.345 0.497 10.015 1485.471 0.284 1.837 0.255 35.481 1337.180 0.119 -4.946 9
4 5505.244 0.150 1.841 0.350 0.498 9.923 1464.928 0.287 2.017 0.253 34.677 1364.628 0.101 2.335 6
4 5860.152 0.114 1.401 0.350 0.500 10.014 1639.162 0.260 1.646 0.249 33.788 1210.580 0.299 -19.728 8
4 5579.932 0.139 1.721 0.326 0.513 10.084 1484.776 0.284 1.822 0.248 35.506 1336.081 0.139 -6.194 11
4 5531.401 0.137 1.723 0.351 0.477 10.034 1484.806 0.284 1.816 0.245 35.391 1339.327 0.138 -6.189 10
4 5857.659 0.153 1.588 0.349 0.500 9.982 1613.684 0.289 1.918 0.253 35.530 1205.171 0.206 -19.092 6
4 5506.282 0.140 1.841 0.350 0.498 9.923 1479.221 0.291 2.015 0.248 34.676 1362.530 0.104 2.011 6
4 5487.992 0.136 1.783 0.352 0.498 9.930 1479.333 0.291 1.962 0.253 34.839 1356.313 0.109 -2.553 6
4 5821.495 0.153 1.670 0.345 0.498 10.063 1467.909 0.291 2.023 0.253 35.512 1265.406 0.165 -7.053 5
4 5682.924 0.153 1.725 0.349 0.496 10.063 1510.277 0.292 2.024 0.253 35.587 1269.233 0.154 -6.272 5
4 5604.377 0.153 1.725 0.345 0.496 10.062 1533.305 0.292 1.963 0.253 35.588 1319.701 0.144 -5.767 5
4 5601.051 0.138 1.683 0.345 0.489 10.010 1533.326 0.290 1.965 0.253 35.588 1320.240 0.158 -6.718 6
4 5582.643 0.153 1.673 0.349 0.498 10.015 1537.468 0.290 2.023 0.253 35.587 1267.621 0.163 -6.85 5
4 5531.841 0.153 1.783 0.345 0.501 9.924 1488.149 0.293 2.021 0.253 35.582 1312.745 0.125 -4.116 5
4 5615.086 0.153 1.711 0.345 0.498 10.015 1506.582 0.284 2.019 0.245 35.506 1334.836 0.144 -18.884 7
4 5622.317 0.153 1.708 0.345 0.498 10.015 1548.489 0.281 2.023 0.248 35.506 1265.406 0.156 -6.401 6
4 5575.199 0.153 1.785 0.352 0.498 10.073 1479.319 0.289 1.983 0.253 35.417 1361.478 0.117 -3.29 5
4 5505.244 0.150 1.841 0.350 0.498 9.923 1479.221 0.290 2.015 0.248 34.676 1364.628 0.104 2.245 5
4 5590.831 0.153 1.777 0.345 0.498 10.031 1486.038 0.300 1.963 0.253 35.591 1307.317 0.128 -4.259 5
4 5575.327 0.140 1.776 0.352 0.498 9.923 1484.807 0.270 2.016 0.248 34.671 1326.148 0.116 -3.024 7
4 5575.327 0.135 1.720 0.352 0.492 9.923 1484.807 0.290 1.860 0.248 35.553 1329.268 0.14 -6.048 7
4 5489.271 0.139 1.734 0.326 0.498 10.011 1465.279 0.290 1.796 0.244 35.518 1346.869 0.133 -5.566 9
4 5579.302 0.140 1.781 0.345 0.512 10.088 1485.366 0.284 1.818 0.244 35.561 1334.943 0.122 -5.384 11
4 5590.831 0.153 1.771 0.352 0.498 10.032 1483.688 0.289 2.027 0.248 35.407 1340.945 0.118 -3.827 5
4 5504.515 0.139 1.742 0.345 0.484 10.015 1437.157 0.306 2.023 0.249 35.534 1306.999 0.129 -5.039 7
4 5578.772 0.140 1.760 0.352 0.498 9.929 1479.548 0.291 1.964 0.253 35.409 1340.941 0.12 -4.471 6
4 5896.064 0.153 1.659 0.345 0.497 10.010 1536.638 0.282 1.710 0.253 35.506 1312.827 0.179 -19.042 7
4 5504.515 0.153 1.742 0.345 0.508 10.014 1504.561 0.306 2.023 0.249 35.534 1306.999 0.129 -4.712 5
4 5889.692 0.153 1.671 0.345 0.498 10.015 1548.489 0.289 2.023 0.248 35.511 1265.406 0.178 -7.268 5
4 5586.328 0.140 1.783 0.348 0.498 10.011 1485.471 0.279 1.831 0.255 35.596 1337.180 0.123 -5.274 9
4 5590.497 0.153 1.736 0.345 0.500 10.015 1478.633 0.306 2.023 0.249 35.534 1306.472 0.132 -4.975 5
4 5531.401 0.137 1.726 0.351 0.477 10.034 1483.511 0.284 1.816 0.245 35.402 1340.945 0.137 -5.854 10
4 5711.787 0.153 1.670 0.345 0.498 10.063 1484.740 0.290 1.817 0.253 35.587 1265.509 0.165 -7.231 6
4 5530.627 0.140 1.780 0.351 0.478 10.034 1484.494 0.284 1.816 0.245 35.391 1339.409 0.116 -4.614 10
5 6371.906 0.152 1.015 0.344 0.510 10.916 1411.166 0.304 1.990 0.251 35.163 1317.572 0.493 -21.549 6
5 5364.360 0.149 2.047 0.343 0.491 10.699 1341.484 0.304 2.000 0.250 34.124 1403.017 0.076 4.651 5
5 5384.795 0.152 1.878 0.334 0.508 10.915 1396.102 0.280 1.991 0.256 34.228 1391.395 0.091 2.698 9
5 5715.426 0.151 2.013 0.353 0.501 10.875 1342.542 0.304 1.994 0.252 35.158 1200.529 0.2 2.568 4
5 5780.978 0.104 1.391 0.347 0.494 11.051 1358.496 0.297 2.000 0.252 35.031 1320.654 0.307 -20.587 7
5 5469.223 0.151 1.853 0.344 0.497 10.876 1367.245 0.304 1.734 0.252 35.349 1318.060 0.133 -18.584 7
5 5840.654 0.151 1.637 0.344 0.501 10.852 1343.611 0.304 2.018 0.250 35.198 1246.925 0.181 -7.343 5
5 6382.789 0.152 1.130 0.350 0.494 11.239 1342.432 0.304 1.993 0.251 35.157 1317.842 0.435 -21.329 5
5 6382.789 0.152 1.098 0.350 0.494 11.239 1342.482 0.304 1.993 0.251 35.157 1317.842 0.451 -21.45 5
5 5789.433 0.149 1.532 0.354 0.497 11.656 1347.782 0.305 2.000 0.250 35.093 1319.720 0.234 -19.79 6
5 5364.360 0.150 2.014 0.343 0.497 10.711 1341.484 0.291 1.961 0.250 34.148 1403.017 0.077 4.277 4
5 5478.094 0.147 1.799 0.322 0.509 10.723 1408.280 0.280 1.883 0.252 34.941 1390.455 0.102 -2.219 9
5 5469.223 0.153 1.694 0.352 0.497 10.946 1347.630 0.302 1.746 0.259 35.243 1314.476 0.153 -19.113 8
5 5467.454 0.153 1.807 0.334 0.508 10.919 1396.102 0.303 1.990 0.257 34.253 1358.902 0.097 2.5 8
5 5382.100 0.150 1.851 0.334 0.494 10.711 1441.758 0.298 2.001 0.248 34.182 1398.788 0.078 2.964 7
5 5370.633 0.152 1.803 0.351 0.494 10.881 1393.465 0.304 2.029 0.251 34.992 1345.118 0.104 1.936 6
5 5467.369 0.152 1.801 0.346 0.497 10.726 1343.024 0.302 2.026 0.250 35.533 1348.406 0.121 -1.307 5
5 5461.086 0.150 1.805 0.334 0.494 10.520 1439.249 0.304 2.001 0.251 34.986 1345.118 0.104 1.846 7
5 6371.906 0.152 1.023 0.344 0.510 11.041 1411.382 0.304 1.990 0.251 35.163 1317.572 0.489 -21.535 6
5 5658.886 0.151 1.775 0.353 0.494 10.510 1342.510 0.307 1.721 0.251 35.185 1404.969 0.139 -4.417 6
5 5715.578 0.153 1.706 0.351 0.493 11.435 1342.541 0.304 1.994 0.252 35.028 1298.283 0.147 -5.712 5
5 5781.045 0.149 1.620 0.344 0.491 11.051 1345.780 0.305 2.001 0.250 35.088 1319.667 0.19 -19.497 5
5 5770.891 0.153 1.774 0.344 0.500 11.434 1340.710 0.298 1.746 0.248 35.539 1298.916 0.154 -19.107 6
5 5381.705 0.150 1.774 0.344 0.498 10.713 1342.082 0.298 1.969 0.248 35.539 1301.586 0.132 -3.409 5
5 5461.086 0.152 1.805 0.343 0.494 10.520 1439.249 0.304 2.027 0.251 35.016 1345.118 0.105 -1.956 6
5 5468.545 0.152 1.801 0.344 0.494 10.982 1437.135 0.304 2.027 0.251 35.174 1362.012 0.11 -2.517 6
5 5810.846 0.152 1.671 0.344 0.511 11.046 1341.456 0.293 1.989 0.250 35.161 1305.440 0.164 -6.278 5
5 5682.779 0.149 1.653 0.353 0.500 11.474 1342.836 0.308 1.999 0.250 35.192 1248.046 0.173 -6.983 5
5 5652.215 0.153 1.776 0.352 0.493 10.383 1347.604 0.302 1.746 0.251 35.534 1325.613 0.13 -6.464 7
5 5469.223 0.153 1.820 0.352 0.493 10.946 1347.630 0.302 1.746 0.248 35.537 1314.481 0.127 -4.203 7
5 5715.578 0.153 1.774 0.344 0.498 11.434 1342.541 0.307 1.746 0.248 35.539 1299.786 0.143 -5.773 6
5 5385.285 0.151 1.853 0.344 0.507 10.876 1341.823 0.304 1.976 0.251 34.178 1376.450 0.088 3.16 5
5 5715.578 0.153 1.703 0.344 0.497 11.441 1342.541 0.302 1.980 0.248 35.528 1299.781 0.148 -6.178 5
5 5395.968 0.152 1.756 0.353 0.500 10.979 1444.881 0.298 2.010 0.251 35.353 1350.041 0.122 -3.945 6
5 5386.554 0.152 2.038 0.350 0.494 10.983 1341.473 0.304 1.994 0.251 35.014 1321.058 0.119 3.369 4
5 5382.100 0.150 1.863 0.334 0.494 10.728 1441.445 0.298 1.972 0.250 34.305 1401.007 0.082 2.834 7
5 5479.145 0.152 1.634 0.344 0.497 11.045 1343.393 0.302 1.670 0.251 35.532 1240.274 0.183 -19.424 6
5 5371.024 0.153 2.021 0.350 0.500 10.879 1341.470 0.292 2.028 0.250 34.884 1405.127 0.1 3.854 4
5 5395.968 0.152 1.756 0.353 0.500 11.082 1344.001 0.298 2.010 0.251 35.331 1350.041 0.122 -2.742 5
5 5840.654 0.151 1.670 0.344 0.501 10.852 1343.611 0.304 2.018 0.250 34.917 1246.925 0.169 -6.314 5
5 5393.559 0.149 1.986 0.343 0.497 10.979 1345.683 0.303 2.009 0.251 35.088 1350.589 0.107 3.396 4
5 5389.712 0.153 1.981 0.344 0.494 10.979 1345.118 0.304 1.983 0.250 35.005 1408.294 0.104 3.71 4
